timestamp,temperature_C,humidity_percent,pressure_hPa,soil_moisture_percent,anomaly_flag
2025-09-01 00:00:00,32.48,64.8,1020.94,66.36,0
2025-09-01 00:10:00,13.32,98.38,1025.21,7.82,1
2025-09-01 00:20:00,33.24,77.2,1017.15,35.93,0
2025-09-01 00:30:00,37.62,54.23,1009.48,73.98,0
2025-09-01 00:40:00,28.83,57.37,1010.02,28.15,0
2025-09-01 00:50:00,28.83,75.36,992.24,40.63,0
2025-09-01 01:00:00,37.9,59.04,990.38,57.19,0
2025-09-01 01:10:00,33.84,74.01,1006.24,37.2,0
2025-09-01 01:20:00,27.65,81.99,1009.98,53.96,0
2025-09-01 01:30:00,32.71,60.98,999.0,53.62,0
2025-09-01 01:40:00,27.68,71.81,999.29,47.19,0
2025-09-01 01:50:00,27.67,53.46,1012.49,62.49,0
2025-09-01 02:00:00,31.21,72.55,1012.5,46.57,0
2025-09-01 02:10:00,20.43,66.99,1006.9,53.47,0
2025-09-01 02:20:00,21.38,69.73,1014.24,67.2,0
2025-09-01 02:30:00,27.19,58.54,998.61,61.86,0
2025-09-01 02:40:00,24.94,48.39,1005.15,61.79,0
2025-09-01 02:50:00,31.57,70.03,1021.18,32.76,0
2025-09-01 03:00:00,25.46,44.37,1008.55,57.87,0
2025-09-01 03:10:00,22.94,61.83,1009.01,36.82,0
2025-09-01 03:20:00,37.33,74.41,1026.45,30.78,0
2025-09-01 03:30:00,28.87,66.92,996.81,48.92,0
2025-09-01 03:40:00,30.34,84.48,1014.37,36.44,0
2025-09-01 03:50:00,22.88,75.25,1021.31,61.86,0
2025-09-01 04:00:00,27.28,58.46,1005.4,62.22,0
2025-09-01 04:10:00,30.55,65.27,1014.88,21.46,0
2025-09-01 04:20:00,24.25,64.53,1000.14,37.58,0
2025-09-01 04:30:00,31.88,49.18,1002.51,28.1,0
2025-09-01 04:40:00,27.0,55.6,1011.08,43.06,0
2025-09-01 04:50:00,28.54,59.39,1014.39,56.83,0
2025-09-01 05:00:00,26.99,44.64,1016.97,46.37,0
2025-09-01 05:10:00,39.26,65.47,1020.56,41.15,0
2025-09-01 05:20:00,29.93,62.51,1007.46,69.5,0
2025-09-01 05:30:00,24.71,48.27,1017.55,15.43,0
2025-09-01 05:40:00,34.11,69.04,1005.26,68.55,0
2025-09-01 05:50:00,23.9,72.16,1015.22,41.84,0
2025-09-01 06:00:00,31.04,67.27,1009.66,48.83,0
2025-09-01 06:10:00,20.2,61.76,1011.57,42.09,0
2025-09-01 06:20:00,23.36,70.91,1011.39,73.14,0
2025-09-01 06:30:00,30.98,71.8,995.16,31.54,0
2025-09-01 06:40:00,13.41,26.78,973.44,8.09,1
2025-09-01 06:50:00,30.86,56.75,1008.82,57.91,0
2025-09-01 07:00:00,29.42,67.77,994.5,25.83,0
2025-09-01 07:10:00,28.49,76.95,1014.65,36.2,0
2025-09-01 07:20:00,22.61,59.03,1014.97,47.78,0
2025-09-01 07:30:00,26.4,85.98,1010.62,36.7,0
2025-09-01 07:40:00,27.7,59.74,999.03,37.77,0
2025-09-01 07:50:00,35.29,65.32,1019.04,44.75,0
2025-09-01 08:00:00,31.72,58.28,1024.3,59.74,0
2025-09-01 08:10:00,21.18,67.23,1009.18,44.86,0
2025-09-01 08:20:00,31.62,47.58,1012.08,66.18,0
2025-09-01 08:30:00,28.07,59.54,1009.61,35.03,0
2025-09-01 08:40:00,26.62,54.08,1012.24,31.22,0
2025-09-01 08:50:00,33.06,66.35,1007.04,78.9,0
2025-09-01 09:00:00,35.15,74.94,1007.72,40.13,0
2025-09-01 09:10:00,34.66,71.46,1015.25,30.34,0
2025-09-01 09:20:00,40.65,29.9,973.79,90.48,1
2025-09-01 09:30:00,28.45,85.42,996.8,66.13,0
2025-09-01 09:40:00,31.66,67.95,1007.17,44.88,0
2025-09-01 09:50:00,34.88,57.24,998.56,46.19,0
2025-09-01 10:00:00,12.53,24.47,1027.44,98.99,1
2025-09-01 10:10:00,29.07,66.76,1003.3,65.19,0
2025-09-01 10:20:00,24.47,58.33,996.45,47.31,0
2025-09-01 10:30:00,24.02,66.98,1013.11,85.16,0
2025-09-01 10:40:00,10.75,25.67,979.03,92.62,1
2025-09-01 10:50:00,36.78,60.96,1013.31,65.93,0
2025-09-01 11:00:00,29.64,58.14,1009.64,62.08,0
2025-09-01 11:10:00,35.02,50.67,1011.27,49.45,0
2025-09-01 11:20:00,31.81,66.46,1019.32,41.2,0
2025-09-01 11:30:00,26.77,70.85,1001.01,54.98,0
2025-09-01 11:40:00,44.24,22.83,979.57,93.19,1
2025-09-01 11:50:00,37.69,73.2,1004.38,41.41,0
2025-09-01 12:00:00,29.82,68.24,998.66,52.5,0
2025-09-01 12:10:00,37.82,59.67,1005.37,68.54,0
2025-09-01 12:20:00,16.9,73.4,1016.86,81.05,0
2025-09-01 12:30:00,34.11,51.42,1012.53,62.82,0
2025-09-01 12:40:00,30.44,55.99,1013.15,77.94,0
2025-09-01 12:50:00,28.5,55.36,1009.17,40.56,0
2025-09-01 13:00:00,30.46,75.8,1012.19,60.53,0
2025-09-01 13:10:00,20.06,74.43,1001.6,70.08,0
2025-09-01 13:20:00,28.9,69.87,1005.52,36.56,0
2025-09-01 13:30:00,31.79,75.72,1009.54,42.72,0
2025-09-01 13:40:00,41.28,97.08,1030.0,93.74,1
2025-09-01 13:50:00,27.41,68.49,1010.56,35.37,0
2025-09-01 14:00:00,25.96,63.75,1006.89,29.88,0
2025-09-01 14:10:00,27.49,73.47,1004.98,72.92,0
2025-09-01 14:20:00,34.58,63.85,1030.0,67.95,0
2025-09-01 14:30:00,31.64,61.15,1015.25,56.48,0
2025-09-01 14:40:00,27.35,70.41,1011.31,49.31,0
2025-09-01 14:50:00,32.57,73.76,1006.13,43.42,0
2025-09-01 15:00:00,30.49,58.32,1004.39,54.23,0
2025-09-01 15:10:00,34.84,64.39,1006.95,73.7,0
2025-09-01 15:20:00,26.49,54.42,1010.34,53.58,0
2025-09-01 15:30:00,28.36,40.02,992.96,82.5,0
2025-09-01 15:40:00,28.04,67.0,995.44,36.53,0
2025-09-01 15:50:00,22.68,71.09,1002.9,49.7,0
2025-09-01 16:00:00,13.37,26.95,1025.16,4.98,1
2025-09-01 16:10:00,31.31,45.5,1006.09,33.72,0
2025-09-01 16:20:00,30.03,61.49,1019.82,47.7,0
2025-09-01 16:30:00,28.83,42.82,996.14,56.26,0
2025-09-01 16:40:00,22.92,78.7,1001.99,57.86,0
2025-09-01 16:50:00,27.9,54.14,1020.16,82.56,0
2025-09-01 17:00:00,28.29,77.55,1009.05,56.97,0
2025-09-01 17:10:00,25.99,74.46,1015.08,67.25,0
2025-09-01 17:20:00,29.19,55.99,1024.41,50.99,0
2025-09-01 17:30:00,32.02,53.67,1002.45,75.17,0
2025-09-01 17:40:00,39.43,68.5,1007.21,85.98,0
2025-09-01 17:50:00,30.87,56.56,1005.82,57.97,0
2025-09-01 18:00:00,31.29,66.02,992.36,35.11,0
2025-09-01 18:10:00,29.63,60.17,1005.52,41.77,0
2025-09-01 18:20:00,20.41,47.19,1015.05,54.23,0
2025-09-01 18:30:00,29.87,42.7,1012.32,56.85,0
2025-09-01 18:40:00,30.3,67.27,1012.95,60.48,0
2025-09-01 18:50:00,42.32,59.38,1005.0,56.9,0
2025-09-01 19:00:00,29.04,59.47,1002.75,50.1,0
2025-09-01 19:10:00,31.51,71.96,1018.15,40.46,0
2025-09-01 19:20:00,29.83,76.73,1004.02,56.02,0
2025-09-01 19:30:00,24.16,62.27,1010.35,77.82,0
2025-09-01 19:40:00,35.71,61.59,1009.31,65.3,0
2025-09-01 19:50:00,33.76,70.0,1019.69,58.02,0
2025-09-01 20:00:00,33.96,51.43,1015.77,65.44,0
2025-09-01 20:10:00,25.45,67.23,997.64,44.43,0
2025-09-01 20:20:00,37.01,70.52,998.5,42.38,0
2025-09-01 20:30:00,22.99,71.8,1012.63,38.78,0
2025-09-01 20:40:00,32.93,45.63,1007.49,48.12,0
2025-09-01 20:50:00,40.95,57.39,1004.36,43.67,0
2025-09-01 21:00:00,25.05,56.22,1016.13,68.12,0
2025-09-01 21:10:00,27.17,66.0,1009.5,42.87,0
2025-09-01 21:20:00,30.5,69.81,1008.42,37.96,0
2025-09-01 21:30:00,41.85,29.95,976.96,95.27,1
2025-09-01 21:40:00,22.25,60.05,1005.0,43.23,0
2025-09-01 21:50:00,30.34,60.02,1020.55,52.3,0
2025-09-01 22:00:00,24.69,76.5,1001.7,56.77,0
2025-09-01 22:10:00,32.37,67.97,1013.26,32.95,0
2025-09-01 22:20:00,25.4,77.68,1019.47,68.53,0
2025-09-01 22:30:00,37.75,67.89,996.98,59.56,0
2025-09-01 22:40:00,26.08,53.43,1005.25,73.38,0
2025-09-01 22:50:00,28.39,51.67,1017.14,39.81,0
2025-09-01 23:00:00,34.07,49.48,1017.26,51.49,0
2025-09-01 23:10:00,23.85,71.62,1006.63,50.59,0
2025-09-01 23:20:00,31.14,76.89,1002.12,53.96,0
2025-09-01 23:30:00,36.54,83.49,1015.65,28.18,0
2025-09-01 23:40:00,21.96,73.43,1017.47,51.66,0
2025-09-01 23:50:00,30.92,76.63,998.68,28.6,0
2025-09-02 00:00:00,31.3,59.2,998.37,55.38,0
2025-09-02 00:10:00,33.91,53.44,1009.8,18.07,0
2025-09-02 00:20:00,23.82,73.5,1013.03,22.23,0
2025-09-02 00:30:00,23.4,69.18,1005.61,62.28,0
2025-09-02 00:40:00,32.61,66.07,1013.43,41.8,0
2025-09-02 00:50:00,14.79,27.81,976.7,7.46,1
2025-09-02 01:00:00,31.25,68.23,991.08,69.06,0
2025-09-02 01:10:00,31.73,77.84,1004.61,54.91,0
2025-09-02 01:20:00,11.97,98.03,1030.46,0.0,1
2025-09-02 01:30:00,31.16,70.44,1005.79,47.51,0
2025-09-02 01:40:00,31.47,73.46,998.73,90.0,0
2025-09-02 01:50:00,26.43,70.14,993.47,40.93,0
2025-09-02 02:00:00,39.33,60.39,1003.89,76.17,0
2025-09-02 02:10:00,32.37,72.57,1015.18,49.08,0
2025-09-02 02:20:00,24.04,51.06,1018.05,25.18,0
2025-09-02 02:30:00,33.28,75.54,1017.5,57.24,0
2025-09-02 02:40:00,25.13,53.05,1001.47,54.72,0
2025-09-02 02:50:00,33.94,67.86,998.77,34.23,0
2025-09-02 03:00:00,35.79,56.55,1011.97,36.17,0
2025-09-02 03:10:00,25.9,70.53,1013.08,49.63,0
2025-09-02 03:20:00,34.82,64.66,1011.2,55.25,0
2025-09-02 03:30:00,32.06,49.05,991.89,12.94,0
2025-09-02 03:40:00,34.11,69.21,1001.06,65.8,0
2025-09-02 03:50:00,39.48,59.22,1007.76,42.58,0
2025-09-02 04:00:00,28.77,73.81,1011.9,30.02,0
2025-09-02 04:10:00,26.23,65.01,1014.14,64.12,0
2025-09-02 04:20:00,25.55,68.95,1009.15,49.65,0
2025-09-02 04:30:00,25.92,55.42,1010.65,68.24,0
2025-09-02 04:40:00,29.61,59.11,1008.68,56.57,0
2025-09-02 04:50:00,31.71,60.41,1013.48,49.98,0
2025-09-02 05:00:00,31.38,73.57,1010.5,47.71,0
2025-09-02 05:10:00,34.14,81.77,1008.53,57.24,0
2025-09-02 05:20:00,30.07,56.95,1005.85,43.8,0
2025-09-02 05:30:00,37.27,75.77,1008.65,37.21,0
2025-09-02 05:40:00,28.68,43.3,1011.88,59.15,0
2025-09-02 05:50:00,43.6,53.06,1010.14,47.83,0
2025-09-02 06:00:00,33.13,55.41,1011.05,50.5,0
2025-09-02 06:10:00,25.71,51.47,1018.74,66.34,0
2025-09-02 06:20:00,24.65,49.16,1010.12,48.29,0
2025-09-02 06:30:00,32.41,69.13,1002.81,50.23,0
2025-09-02 06:40:00,28.88,62.86,1015.07,41.01,0
2025-09-02 06:50:00,33.57,68.79,997.07,56.46,0
2025-09-02 07:00:00,32.37,71.9,999.35,55.25,0
2025-09-02 07:10:00,29.64,67.66,1010.69,63.51,0
2025-09-02 07:20:00,25.77,71.58,1012.13,41.31,0
2025-09-02 07:30:00,22.43,64.3,998.04,43.13,0
2025-09-02 07:40:00,27.77,53.13,1004.94,61.88,0
2025-09-02 07:50:00,34.28,75.58,1003.15,53.78,0
2025-09-02 08:00:00,31.07,59.11,1004.11,36.41,0
2025-09-02 08:10:00,23.77,55.64,1015.55,69.6,0
2025-09-02 08:20:00,30.87,63.22,1013.65,24.52,0
2025-09-02 08:30:00,31.93,55.87,1007.85,61.76,0
2025-09-02 08:40:00,25.58,60.83,1003.63,31.02,0
2025-09-02 08:50:00,30.77,68.44,997.2,78.29,0
2025-09-02 09:00:00,30.29,68.48,1019.36,26.83,0
2025-09-02 09:10:00,24.29,56.02,1012.74,67.28,0
2025-09-02 09:20:00,31.79,60.12,1002.35,48.78,0
2025-09-02 09:30:00,32.8,75.74,1013.76,44.5,0
2025-09-02 09:40:00,35.42,69.96,1007.44,52.78,0
2025-09-02 09:50:00,35.27,85.75,1005.7,59.48,0
2025-09-02 10:00:00,23.11,76.8,1011.48,36.43,0
2025-09-02 10:10:00,25.31,76.44,1002.07,37.76,0
2025-09-02 10:20:00,32.58,51.12,1005.25,59.74,0
2025-09-02 10:30:00,32.57,72.64,1008.97,24.39,0
2025-09-02 10:40:00,32.58,64.47,1004.0,41.24,0
2025-09-02 10:50:00,45.0,59.49,1013.35,90.0,0
2025-09-02 11:00:00,32.85,66.68,1022.95,35.48,0
2025-09-02 11:10:00,35.68,74.45,1001.97,67.22,0
2025-09-02 11:20:00,34.77,70.01,994.68,41.21,0
